1900,140.863
1901,143.674
1902,146.53
1903,149.476
1904,152.466
1905,155.523
1906,158.647
1907,161.837
1908,165.073
1909,168.375
1910,171.945
1911,175.158
1912,178.193
1913,181.607
1914,184.664
1915,186.583
1916,188.836
1917,191.402
1918,190.197
1919,192.853
1920,195.017
1921,198.587
1922,200.417
1923,204.121
1924,209.364
1925,211.484
1926,214.072
1927,217.442
1928,218.714
1929,216.951
1930,215.3
1931,216.594
1932,217.866
1933,218.312
1934,218.557
1935,218.089
1936,217.933
1937,218.446
1938,222.061
1939,220.923
1940,220.811
1941,221.146
1942,216.527
1943,210.725
1944,205.593
1945,204.009
1946,220.142
1947,227.505
1948,229.535
1949,231.834
1950,234.444
1951,233.418
1952,234.355
1953,237.903
1954,241.361
1955,244.084
1956,244.82
1957,244.418
1958,246.739
1959,250.666
1960,252.786
1961,254.191
1962,253.366
1963,254.905
1964,257.025
1965,259.279
1966,260.261
1967,260.64
1968,261.979
1969,261.979
1970,263.312
1971,265.223
1972,265.71
1973,265.315
1974,264.877
1975,265.663
1976,265.468
1977,265.384
1978,265.067
1979,265.258
1980,264.721
1981,264.602
1982,264.303
1983,264.137
1984,263.634
1985,262.645
1986,262.91
1987,263.538
1988,264.316
1989,264.768
1990,265.428
1991,266.49
1992,267.33
1993,268.252
1994,268.707
1995,268.757
1996,268.606
1997,268.112
1998,267.81
1999,267.624
2000,274.128
2001,274.441
2002,275.039
2003,275.735
2004,276.424
2005,277.088
2006,278.271
2007,279.417
2008,280.395
2009,281.252
2010,283.624
2011,284.369
2012,284.866
2013,285.084
2014,285.363
2015,285.288
2016,285.239
2017,285.393
2018,285.763
